go_acc	go_domain
GO:0002063	biological_process
GO:0002064	biological_process
GO:0002066	biological_process
GO:0002067	biological_process
GO:0002068	biological_process
GO:0002070	biological_process
GO:0002071	biological_process
GO:0002072	biological_process
GO:0002074	biological_process
GO:0002076	biological_process
GO:0002077	biological_process
GO:0002079	cellular_component
GO:0002080	cellular_component
GO:0002081	cellular_component
GO:0002082	biological_process
GO:0002083	molecular_function
GO:0002084	biological_process
GO:0002085	biological_process
GO:0002086	biological_process
GO:0002087	biological_process
GO:0002088	biological_process
GO:0002089	biological_process
GO:0002090	biological_process
GO:0002091	biological_process
GO:0002092	biological_process
GO:0002093	biological_process
GO:0002094	molecular_function
GO:0002098	biological_process
GO:0002100	biological_process
GO:0002101	biological_process
GO:0002102	cellular_component
GO:0002113	molecular_function
GO:0002114	molecular_function
GO:0002115	biological_process
GO:0002116	cellular_component
GO:0002118	biological_process
GO:0002121	biological_process
GO:0002125	biological_process
GO:0002127	biological_process
GO:0002128	biological_process
GO:0002133	cellular_component
GO:0002134	molecular_function
GO:0002135	molecular_function
GO:0002138	biological_process
GO:0002141	cellular_component
GO:0002142	cellular_component
GO:0002143	biological_process
GO:0002144	cellular_component
GO:0002149	biological_process
GO:0002151	molecular_function
GO:0002152	biological_process
GO:0002153	molecular_function
GO:0002154	biological_process
GO:0002155	biological_process
GO:0002158	biological_process
GO:0002159	biological_process
GO:0002161	molecular_function
GO:0002162	molecular_function
GO:0002169	cellular_component
GO:0002175	biological_process
GO:0002176	biological_process
GO:0002177	cellular_component
GO:0002178	cellular_component
GO:0002181	biological_process
GO:0002183	biological_process
GO:0002184	biological_process
GO:0002188	biological_process
GO:0002189	cellular_component
GO:0002190	biological_process
GO:0002191	biological_process
GO:0002192	biological_process
GO:0002193	cellular_component
GO:0002194	biological_process
GO:0002196	molecular_function
GO:0002199	cellular_component
GO:0002204	biological_process
GO:0002209	biological_process
GO:0002215	biological_process
GO:0002218	biological_process
GO:0002220	biological_process
GO:0002221	biological_process
GO:0002223	biological_process
GO:0002224	biological_process
GO:0002227	biological_process
GO:0002228	biological_process
GO:0002230	biological_process
GO:0002232	biological_process
GO:0002237	biological_process
GO:0002238	biological_process
GO:0002244	biological_process
GO:0002246	biological_process
GO:0002248	biological_process
GO:0002250	biological_process
GO:0002251	biological_process
GO:0002253	biological_process
GO:0002260	biological_process
GO:0002262	biological_process
GO:0002263	biological_process
GO:0002264	biological_process
GO:0002265	biological_process
GO:0002266	biological_process
GO:0002268	biological_process
GO:0002270	biological_process
GO:0002274	biological_process
GO:0002276	biological_process
GO:0002277	biological_process
GO:0002280	biological_process
GO:0002281	biological_process
GO:0002282	biological_process
GO:0002283	biological_process
GO:0002286	biological_process
GO:0002291	biological_process
GO:0002292	biological_process
GO:0002295	biological_process
GO:0002296	biological_process
GO:0002300	biological_process
GO:0002302	biological_process
GO:0002305	biological_process
GO:0002309	biological_process
GO:0002312	biological_process
GO:0002313	biological_process
GO:0002314	biological_process
GO:0002315	biological_process
GO:0002316	biological_process
GO:0002317	biological_process
GO:0002318	biological_process
GO:0002320	biological_process
GO:0002322	biological_process
GO:0002323	biological_process
GO:0002326	biological_process
GO:0002327	biological_process
GO:0002328	biological_process
GO:0002329	biological_process
GO:0002331	biological_process
GO:0002333	biological_process
GO:0002335	biological_process
GO:0002336	biological_process
GO:0002337	biological_process
GO:0002344	biological_process
GO:0002347	biological_process
GO:0002352	biological_process
GO:0002353	biological_process
GO:0002355	biological_process
GO:0002357	biological_process
GO:0002358	biological_process
GO:0002360	biological_process
GO:0002361	biological_process
GO:0002362	biological_process
GO:0002363	biological_process
GO:0002366	biological_process
GO:0002367	biological_process
GO:0002368	biological_process
GO:0002369	biological_process
GO:0002371	biological_process
GO:0002374	biological_process
GO:0002376	biological_process
GO:0002377	biological_process
GO:0002378	biological_process
GO:0002379	biological_process
GO:0002380	biological_process
GO:0002381	biological_process
GO:0002383	biological_process
GO:0002384	biological_process
GO:0002385	biological_process
GO:0002395	biological_process
GO:0002397	biological_process
GO:0002398	biological_process
GO:0002399	biological_process
GO:0002407	biological_process
GO:0002408	biological_process
GO:0002415	biological_process
GO:0002416	biological_process
GO:0002418	biological_process
GO:0002419	biological_process
GO:0002426	biological_process
GO:0002429	biological_process
GO:0002430	biological_process
GO:0002431	biological_process
GO:0002432	biological_process
GO:0002434	biological_process
GO:0002436	biological_process
GO:0002437	biological_process
GO:0002438	biological_process
GO:0002439	biological_process
GO:0002443	biological_process
GO:0002446	biological_process
GO:0002448	biological_process
GO:0002451	biological_process
GO:0002455	biological_process
GO:0002456	biological_process
GO:0002457	biological_process
GO:0002458	biological_process
GO:0002460	biological_process
GO:0002467	biological_process
GO:0002470	biological_process
GO:0002474	biological_process
GO:0002476	biological_process
GO:0002477	biological_process
